y_1960;y_1985;g;n;s;school
2485;4371;4.8;2.6;24.1;4.5
1588;1171;0.8;2.1;5.8;1.8
1116;1071;2.2;2.4;10.8;1.8
959;3671;8.6;3.2;28.3;2.9
529;857;2.9;0.9;12.7;0.4
755;663;1.2;1.7;5.1;0.4
889;2190;5.7;2.1;12.8;3.4
838;789;1.5;1.7;10.5;1.4
908;462;-0.9;1.9;6.9;0.4
1009;2624;6.2;2.4;28.8;3.8
907;2160;6;2.5;16.3;7
533;608;2.8;2.3;5.4;1.1
1307;5350;7;1.4;22.1;2.6
1009;727;1;2.3;9.1;4.7
746;869;2.2;1.6;10.9;0
1386;1704;5.1;4.3;12.4;2.3
944;1329;4.8;3.4;17.4;2.4
431;1483;6.8;1.9;12.6;2
863;944;3.3;3;21.5;2.5
1194;975;1.4;2.2;7.1;2.6
455;823;4.8;2.4;13.2;0.6
737;710;2.1;2.2;7.3;1
777;1038;3.3;2.2;25.6;1
1973;2967;4.2;2.6;17.1;7.3
1030;2348;5.8;2.5;8.3;3.6
1420;1035;1.4;2.7;6.1;0.7
539;841;4.4;2.6;10.3;0.5
1055;1186;2.8;2.4;12;2.3
460;696;4.5;2.8;7.9;0.4
1392;1450;2.5;2.3;9.6;1.7
511;805;3.4;1.6;10.9;1.7
901;657;1.8;3.1;13.8;1.1
4768;7064;3.9;2.3;21.6;3
1254;1038;1.8;2.6;13.2;2
383;710;5.3;2.9;18;0.5
777;978;3.4;2.5;15.5;2.9
1623;3661;5.6;2.4;13.8;4.3
601;667;3.5;3.1;4.1;1.1
594;412;0.9;2.4;6.5;3.6
1410;1217;2.1;2.7;31.7;2.4
1187;2107;5.1;2.8;21.1;4.4
846;1221;4;2.6;6.8;3.2
517;1031;4.5;1.7;11.4;3.5
3085;13372;8.9;3;19.9;7.2
978;1339;3.6;2.4;16.8;5.1
3606;7400;6.3;3.4;18.4;6.5
4916;5626;3.8;3.2;16.2;7.4
4802;10450;5.9;2.8;28.5;9.5
3493;13893;6.8;1.2;36;10.9
2183;4312;5.4;2.7;17.6;10.8
1285;4775;7.9;2.7;22.3;10.2
2154;5788;7.1;3.2;23.2;7.3
833;974;2.6;2;5.9;2.3
1077;2175;5.8;3;12.2;3
1668;2430;4.5;3;14.9;10.6
6731;11057;6.1;4.1;12.8;3.1
2793;14678;9.2;2.6;32.2;9
1794;2482;3.7;2.4;14.8;8.3
2382;6042;6.7;3;15.9;8.8
1308;3220;6.7;3.1;18;4.4
5939;13327;3.6;0.4;23.4;8
6789;14290;3.5;0.5;23.4;9.3
8551;16491;3.2;0.6;26.6;10.7
6527;13779;3.7;0.7;36.9;11.5
7215;15027;3.9;1;26.2;8.9
7695;15297;3.3;0.5;28.5;8.4
2257;6868;5.1;0.7;29.3;7.9
4411;8675;3.8;1.1;25.9;11.4
4913;11082;3.8;0.6;24.9;7.1
7689;13177;3.6;1.4;25.8;10.7
7938;19723;4.3;0.7;29.1;10
2272;5827;4.4;0.6;22.5;5.8
3766;9903;4.9;1;17.7;8
7802;15237;3.1;0.4;24.5;7.9
10308;15881;2.5;0.8;29.7;4.8
2274;4444;5.2;2.5;20.2;5.5
7634;13331;2.5;0.3;18.4;8.9
10286;17935;4.2;2;23.3;10.6
3360;4492;4.7;3.5;14.7;7
1939;3308;5.1;2.9;17.1;5.8
2042;1997;3.3;3.3;8;3.9
2481;3034;3.9;3.1;8.8;2.4
1096;1237;1.8;1.3;7.1;1.9
1430;1822;4;3.1;13.8;3.7
2726;3080;2.1;1.6;20.6;11.2
4229;7380;5.5;3.3;19.5;6.6
3195;3978;4.1;3.3;14.5;5.8
2423;5021;5.9;3;26.1;11.6
9253;11285;2.7;1.9;20.4;8.8
12362;18988;3.2;1.5;21.1;11.9
4852;5533;2.1;1.5;25.6;5
1618;2055;3.3;2.4;13.3;4.9
1842;5563;7.3;2.9;23.2;4.7
5189;5533;2.6;2.3;29.7;7.7
2672;4405;5;3;18;6.1
2198;4504;5.7;2.8;24.4;7.2
1951;3914;5.5;2.7;11.7;4.4
3310;3775;3.5;2.9;12;8
5119;5495;0.9;0.6;11.8;7
10367;6336;1.9;3.8;11.4;7
8440;13409;3.8;2;31.5;9.8
879;2159;5.5;1.9;13.9;4.1
9523;12308;2.7;1.7;22.5;11.9
1781;2544;3.5;2.1;16.2;1.5
